item_id,item_name,Family,Itur,Items multiplication
7304,טיפות הרטבה ליובש בעיניים - אביזור,,1,
907,תמיסה לעדשות דיספו,,2,
5300,תמיסה לעדשות יוניקה,,3,
831,סיילין - תמיסה לשבת,,4,
1853,עדשות מגע חודשיות מס ' -7,,5,
5306,עדשות מגע חודשיות מס ' -7.5,,5,
1833,עדשות מגע חודשיות מס' -1.5 ,,5,
1834,עדשות מגע חודשיות מס' -1.75 ,,5,
6553,עדשות מגע חודשיות מס' -10 ,,5,
1835,עדשות מגע חודשיות מס' -2 ,,5,
1836,עדשות מגע חודשיות מס' -2.25 ,,5,
1837,עדשות מגע חודשיות מס' -2.5 ,,5,
1838,עדשות מגע חודשיות מס' -2.75 ,,5,
1839,עדשות מגע חודשיות מס' -3 ,,5,
1840,עדשות מגע חודשיות מס' -3.25 ,,5,
1841,עדשות מגע חודשיות מס' -3.5 ,,5,
1842,עדשות מגע חודשיות מס' -3.75 ,,5,
1843,עדשות מגע חודשיות מס' -4 ,,5,
1844,עדשות מגע חודשיות מס' -4.25 ,,5,
1845,עדשות מגע חודשיות מס' -4.5 ,,5,
1846,עדשות מגע חודשיות מס' -4.75 ,,5,
1847,עדשות מגע חודשיות מס' -5 ,,5,
1848,עדשות מגע חודשיות מס' -5.25 ,,5,
1849,עדשות מגע חודשיות מס' -5.5 ,,5,
1850,עדשות מגע חודשיות מס' -5.75 ,,5,
1851,עדשות מגע חודשיות מס' -6 ,,5,
1852,עדשות מגע חודשיות מס' -6.5 ,,5,
5378,עדשות מגע חודשיות מס' -8 ,,5,
5379,עדשות מגע חודשיות מס' -8.5 ,,5,
6551,עדשות מגע חודשיות מס' -9 ,,5,
6552,עדשות מגע חודשיות מס' -9.5 ,,5,
6055,עדשות מגע יומיות - מידה 2 ,,6,
6056,עדשות מגע יומיות - מידה 2.25 ,,6,
6057,עדשות מגע יומיות - מידה 2.5 ,,6,
6058,עדשות מגע יומיות - מידה 2.75 ,,6,
6059,עדשות מגע יומיות - מידה 3 ,,6,
6060,עדשות מגע יומיות - מידה 3.25 ,,6,
6061,עדשות מגע יומיות - מידה 3.5 ,,6,
6062,עדשות מגע יומיות - מידה 3.75 ,,6,
6063,עדשות מגע יומיות - מידה 4 ,,6,
6064,עדשות מגע יומיות - מידה 4.25 ,,6,
6065,עדשות מגע יומיות - מידה 4.5 ,,6,
6066,עדשות מגע יומיות - מידה 4.75 ,,6,
6067,עדשות מגע יומיות - מידה 5 ,,6,
6068,עדשות מגע יומיות - מידה 5.25 ,,6,
6069,עדשות מגע יומיות - מידה 5.5 ,,6,
